ID_venta,Sucursal,Fecha,ID_producto,Nombre_producto,Categoría_producto,Precio_unitario,Cantidad_vendida,Monto_total,ID_empleado,Nombre_empleado,Evaluación_atención,Descuento,Ubicación_cliente,Ciudad,Método_pago,Hora_venta
V1000,Sucursal 1,2023-03-01,3,Auriculares Bluetooth,Ropa,80.0,1,400.0,E3,Pedro Gomez,2,10,Zona 1,Loja,Tarjeta de credito,Noche
V1001,Sucursal 1,2023-01-29,8,Tablet,Electronica,40.0,7,280.0,E5,Jose Lopez,5,5,Zona 2,Guayaquil,Tarjeta de credito,Mañana
V1002,Sucursal 1,2023-02-16,6,Auriculares Bluetooth,Accesorios,80.0,1,480.0,E4,Lucia Martinez,1,5,Zona 3,Ambato,Efectivo,Tarde
V1003,Sucursal 1,2023-03-10,10,Auriculares Bluetooth,Ropa,80.0,7,800.0,E5,Lucia Martinez,5,20,Zona 3,Guayaquil,PayPal,Tarde
V1004,Sucursal 1,2023-03-13,7,Reloj,Ropa,120.0,9,320.0,E2,Jose Lopez,2,0,Zona 1,Ambato,PayPal,Mañana
V1005,Sucursal 1,2023-01-24,8,Reloj,Calzado,40.0,6,480.0,E3,Jose Lopez,3,5,Zona 3,Guayaquil,Tarjeta de debito,Noche
V1006,Sucursal 1,2023-01-25,3,Cargador inalambrico,Accesorios,30.0,2,480.0,E3,Pedro Gomez,4,10,Zona 1,Guayaquil,Efectivo,Noche
V1007,Sucursal 1,2023-01-15,8,Cargador inalambrico,Electronica,500.0,8,150.0,E3,Jose Lopez,5,20,Zona 3,Loja,PayPal,Mañana
V1008,Sucursal 1,2023-02-22,9,Auriculares Bluetooth,Electronica,80.0,5,420.0,E2,Pedro Gomez,4,5,Zona 1,Guayaquil,Tarjeta de debito,Mañana
V1009,Sucursal 1,2023-03-03,5,Tablet,Calzado,25.0,6,120.0,E2,Lucia Martinez,5,0,Zona 2,Ambato,PayPal,Mañana
V1010,Sucursal 1,2023-03-08,2,Reloj,Ropa,30.0,7,1500.0,E4,Ana Garcia,4,0,Zona 3,Cuenca,Tarjeta de debito,Noche
V1011,Sucursal 1,2023-03-07,4,Pantalones,Calzado,60.0,9,240.0,E5,Lucia Martinez,5,15,Zona 1,Cuenca,PayPal,Tarde
V1012,Sucursal 1,2023-03-19,3,Pantalones,Ropa,250.0,2,250.0,E1,Jose Lopez,2,0,Zona 2,Guayaquil,Efectivo,Noche
V1013,Sucursal 1,2023-03-23,5,Chaqueta de cuero,Ropa,300.0,9,120.0,E1,Carlos Perez,1,10,Zona 2,Quito,Tarjeta de credito,Noche
V1014,Sucursal 1,2023-03-15,10,Smartphone,Electronica,40.0,8,360.0,E3,Lucia Martinez,3,20,Zona 1,Quito,Tarjeta de credito,Mañana
V1015,Sucursal 1,2023-02-19,7,Chaqueta de cuero,Ropa,150.0,6,2100.0,E2,Jose Lopez,5,0,Zona 3,Cuenca,Efectivo,Tarde
V1016,Sucursal 1,2023-01-03,7,Chaqueta de cuero,Electronica,30.0,5,750.0,E2,Pedro Gomez,3,5,Zona 1,Ambato,Tarjeta de debito,Mañana
V1017,Sucursal 1,2023-02-24,8,Cargador inalambrico,Electronica,40.0,10,240.0,E2,Carlos Perez,3,5,Zona 1,Cuenca,Tarjeta de debito,Mañana
V1018,Sucursal 1,2023-01-04,1,Cargador inalambrico,Accesorios,80.0,1,250.0,E2,Carlos Perez,1,20,Zona 2,Ambato,Transferencia,Tarde
V1019,Sucursal 1,2023-02-14,2,Camiseta,Ropa,25.0,8,60.0,E1,Ana Garcia,3,15,Zona 1,Ambato,Efectivo,Noche
V1020,Sucursal 1,2023-03-01,3,Tablet,Ropa,30.0,3,150.0,E1,Ana Garcia,2,0,Zona 2,Guayaquil,Tarjeta de debito,Tarde
V1021,Sucursal 1,2023-02-06,9,Reloj,Electronica,30.0,1,480.0,E2,Lucia Martinez,5,5,Zona 1,Cuenca,Tarjeta de credito,Tarde
V1022,Sucursal 1,2023-02-28,2,Pantalones,Accesorios,300.0,2,250.0,E2,Carlos Perez,1,10,Zona 3,Quito,Transferencia,Mañana
V1023,Sucursal 1,2023-02-21,6,Pantalones,Electronica,80.0,7,300.0,E1,Lucia Martinez,3,5,Zona 1,Ambato,Tarjeta de debito,Mañana
V1024,Sucursal 1,2023-01-19,3,Bicicleta,Electronica,500.0,3,240.0,E2,Lucia Martinez,1,0,Zona 1,Ambato,PayPal,Mañana
V1025,Sucursal 1,2023-02-01,3,Zapatos deportivos,Electronica,25.0,7,50.0,E2,Carlos Perez,5,15,Zona 1,Guayaquil,Tarjeta de credito,Mañana
V1026,Sucursal 1,2023-03-04,6,Smartphone,Electronica,80.0,3,600.0,E4,Ana Garcia,1,15,Zona 2,Guayaquil,Tarjeta de credito,Mañana
V1027,Sucursal 1,2023-02-21,2,Reloj,Electronica,500.0,7,1500.0,E4,Lucia Martinez,1,0,Zona 2,Cuenca,Tarjeta de debito,Mañana
V1028,Sucursal 1,2023-01-18,2,Bicicleta,Ropa,30.0,1,320.0,E3,Ana Garcia,5,20,Zona 3,Ambato,Tarjeta de debito,Tarde
V1029,Sucursal 1,2023-03-30,9,Reloj,Calzado,40.0,5,3500.0,E4,Jose Lopez,5,0,Zona 1,Ambato,PayPal,Noche
V1030,Sucursal 1,2023-02-28,9,Chaqueta de cuero,Electronica,250.0,7,180.0,E5,Ana Garcia,4,20,Zona 1,Guayaquil,Efectivo,Tarde
V1031,Sucursal 1,2023-01-22,7,Zapatos deportivos,Accesorios,25.0,6,1500.0,E3,Ana Garcia,4,20,Zona 2,Quito,Transferencia,Tarde
V1032,Sucursal 1,2023-03-03,10,Zapatos deportivos,Electronica,80.0,4,250.0,E4,Lucia Martinez,4,5,Zona 1,Ambato,Tarjeta de credito,Tarde
V1033,Sucursal 1,2023-01-26,10,Zapatos deportivos,Accesorios,30.0,3,360.0,E1,Pedro Gomez,5,15,Zona 1,Cuenca,Transferencia,Noche
V1034,Sucursal 1,2023-01-04,10,Smartphone,Electronica,40.0,5,560.0,E1,Ana Garcia,5,20,Zona 3,Ambato,Transferencia,Tarde
V1035,Sucursal 1,2023-03-07,5,Tablet,Electronica,60.0,3,1500.0,E4,Pedro Gomez,5,5,Zona 3,Quito,Tarjeta de debito,Tarde
V1036,Sucursal 1,2023-01-02,1,Smartphone,Electronica,25.0,1,4000.0,E5,Ana Garcia,5,10,Zona 1,Guayaquil,PayPal,Noche
V1037,Sucursal 1,2023-03-13,1,Cargador inalambrico,Accesorios,300.0,5,100.0,E3,Jose Lopez,5,15,Zona 1,Ambato,Tarjeta de credito,Noche
V1038,Sucursal 1,2023-03-13,4,Bicicleta,Accesorios,150.0,5,200.0,E2,Ana Garcia,3,20,Zona 1,Guayaquil,PayPal,Noche
V1039,Sucursal 1,2023-02-20,8,Camiseta,Ropa,25.0,7,1200.0,E2,Carlos Perez,3,15,Zona 3,Loja,Efectivo,Mañana
V1040,Sucursal 1,2023-02-18,1,Cargador inalambrico,Electronica,120.0,2,1200.0,E1,Carlos Perez,1,20,Zona 3,Ambato,PayPal,Tarde
V1041,Sucursal 1,2023-03-06,8,Pantalones,Electronica,250.0,3,320.0,E3,Carlos Perez,5,0,Zona 3,Loja,Tarjeta de credito,Noche
V1042,Sucursal 1,2023-02-08,3,Reloj,Ropa,25.0,1,1750.0,E4,Ana Garcia,5,10,Zona 2,Ambato,Tarjeta de credito,Mañana
V1043,Sucursal 1,2023-03-19,9,Cargador inalambrico,Accesorios,300.0,3,2500.0,E2,Pedro Gomez,1,10,Zona 3,Cuenca,Efectivo,Mañana
V1044,Sucursal 1,2023-01-12,4,Auriculares Bluetooth,Electronica,300.0,2,50.0,E1,Jose Lopez,4,20,Zona 2,Quito,Transferencia,Mañana
V1045,Sucursal 1,2023-01-09,7,Chaqueta de cuero,Ropa,250.0,5,180.0,E5,Carlos Perez,1,10,Zona 2,Guayaquil,Tarjeta de debito,Mañana
V1046,Sucursal 1,2023-02-11,4,Pantalones,Ropa,40.0,6,320.0,E4,Carlos Perez,5,20,Zona 3,Guayaquil,Tarjeta de debito,Tarde
V1047,Sucursal 1,2023-02-19,2,Bicicleta,Accesorios,40.0,8,1000.0,E4,Pedro Gomez,4,0,Zona 3,Ambato,Tarjeta de debito,Tarde
V1048,Sucursal 1,2023-03-14,7,Chaqueta de cuero,Ropa,25.0,7,320.0,E1,Ana Garcia,2,0,Zona 3,Ambato,Tarjeta de debito,Mañana
V1049,Sucursal 1,2023-01-27,6,Tablet,Electronica,250.0,2,225.0,E4,Lucia Martinez,5,15,Zona 2,Cuenca,Efectivo,Tarde
V1050,Sucursal 1,2023-03-25,1,Cargador inalambrico,Electronica,150.0,5,400.0,E5,Jose Lopez,3,5,Zona 1,Quito,Tarjeta de debito,Tarde
V1051,Sucursal 1,2023-03-12,5,Smartphone,Electronica,500.0,6,240.0,E4,Pedro Gomez,5,0,Zona 2,Quito,Efectivo,Noche
V1052,Sucursal 1,2023-03-19,7,Zapatos deportivos,Accesorios,30.0,10,3000.0,E2,Lucia Martinez,4,15,Zona 3,Quito,PayPal,Mañana
V1053,Sucursal 1,2023-01-28,5,Zapatos deportivos,Electronica,60.0,9,1080.0,E5,Lucia Martinez,1,15,Zona 2,Guayaquil,PayPal,Mañana
V1054,Sucursal 1,2023-03-14,9,Cargador inalambrico,Ropa,80.0,5,240.0,E4,Jose Lopez,1,20,Zona 3,Ambato,PayPal,Mañana
V1055,Sucursal 1,2023-03-29,3,Bicicleta,Accesorios,120.0,10,90.0,E4,Carlos Perez,5,10,Zona 3,Loja,Tarjeta de debito,Mañana
V1056,Sucursal 1,2023-01-30,3,Reloj,Electronica,25.0,7,100.0,E3,Pedro Gomez,4,15,Zona 3,Ambato,Tarjeta de debito,Tarde
V1057,Sucursal 1,2023-01-13,8,Camiseta,Ropa,40.0,5,2000.0,E1,Ana Garcia,2,15,Zona 2,Guayaquil,Efectivo,Tarde
V1058,Sucursal 1,2023-03-07,10,Reloj,Electronica,30.0,3,300.0,E5,Lucia Martinez,4,20,Zona 1,Loja,Tarjeta de debito,Mañana
V1059,Sucursal 1,2023-03-17,5,Zapatos deportivos,Ropa,80.0,7,2000.0,E4,Pedro Gomez,3,15,Zona 3,Ambato,Efectivo,Tarde
V1060,Sucursal 1,2023-02-09,2,Bicicleta,Ropa,250.0,6,270.0,E4,Jose Lopez,1,20,Zona 1,Loja,Transferencia,Tarde
V1061,Sucursal 1,2023-02-05,1,Smartphone,Calzado,500.0,2,480.0,E5,Jose Lopez,5,10,Zona 3,Cuenca,Tarjeta de credito,Mañana
V1062,Sucursal 1,2023-02-26,9,Camiseta,Electronica,60.0,8,2700.0,E2,Lucia Martinez,5,20,Zona 2,Loja,PayPal,Tarde
V1063,Sucursal 1,2023-01-29,3,Zapatos deportivos,Electronica,30.0,3,720.0,E5,Jose Lopez,3,0,Zona 1,Cuenca,Transferencia,Noche
V1064,Sucursal 1,2023-01-08,1,Tablet,Accesorios,250.0,6,360.0,E5,Jose Lopez,3,5,Zona 2,Loja,Tarjeta de credito,Mañana
V1065,Sucursal 1,2023-02-07,1,Cargador inalambrico,Electronica,40.0,8,4500.0,E5,Lucia Martinez,1,20,Zona 2,Cuenca,Tarjeta de debito,Noche
V1066,Sucursal 1,2023-03-18,4,Bicicleta,Accesorios,40.0,3,900.0,E4,Jose Lopez,5,20,Zona 3,Ambato,Transferencia,Mañana
V1067,Sucursal 1,2023-03-04,9,Pantalones,Ropa,40.0,1,160.0,E1,Ana Garcia,3,0,Zona 3,Loja,Tarjeta de credito,Mañana
V1068,Sucursal 1,2023-03-25,7,Pantalones,Electronica,250.0,2,60.0,E1,Ana Garcia,4,20,Zona 3,Loja,PayPal,Noche
V1069,Sucursal 1,2023-02-15,8,Smartphone,Electronica,300.0,2,1500.0,E4,Lucia Martinez,4,20,Zona 1,Cuenca,Tarjeta de debito,Mañana
V1070,Sucursal 1,2023-01-21,7,Bicicleta,Electronica,25.0,9,540.0,E4,Pedro Gomez,2,10,Zona 2,Loja,Tarjeta de credito,Tarde
V1071,Sucursal 1,2023-01-11,6,Bicicleta,Calzado,60.0,10,1500.0,E1,Ana Garcia,2,5,Zona 2,Cuenca,Tarjeta de debito,Noche
V1072,Sucursal 1,2023-02-15,5,Chaqueta de cuero,Electronica,500.0,9,2700.0,E3,Carlos Perez,3,0,Zona 1,Loja,Efectivo,Mañana
V1073,Sucursal 1,2023-01-21,5,Cargador inalambrico,Ropa,300.0,5,240.0,E3,Ana Garcia,2,10,Zona 1,Loja,Transferencia,Noche
V1074,Sucursal 1,2023-03-02,1,Bicicleta,Ropa,120.0,5,270.0,E2,Carlos Perez,3,20,Zona 3,Guayaquil,Transferencia,Mañana
V1075,Sucursal 1,2023-02-23,6,Auriculares Bluetooth,Ropa,25.0,10,160.0,E2,Ana Garcia,3,20,Zona 3,Quito,Efectivo,Noche
V1076,Sucursal 1,2023-01-03,5,Bicicleta,Electronica,150.0,5,80.0,E2,Pedro Gomez,3,0,Zona 3,Loja,PayPal,Tarde
V1077,Sucursal 1,2023-02-09,4,Auriculares Bluetooth,Electronica,300.0,9,50.0,E3,Ana Garcia,4,15,Zona 2,Guayaquil,PayPal,Tarde
V1078,Sucursal 1,2023-03-03,1,Tablet,Accesorios,80.0,4,750.0,E4,Carlos Perez,2,15,Zona 1,Cuenca,Tarjeta de debito,Tarde
V1079,Sucursal 1,2023-02-18,5,Bicicleta,Ropa,60.0,7,1000.0,E2,Lucia Martinez,2,5,Zona 1,Guayaquil,Tarjeta de credito,Mañana
V1080,Sucursal 1,2023-03-31,1,Smartphone,Calzado,300.0,7,60.0,E3,Carlos Perez,4,15,Zona 3,Ambato,Transferencia,Noche
V1081,Sucursal 1,2023-01-19,2,Chaqueta de cuero,Electronica,250.0,3,750.0,E1,Ana Garcia,4,0,Zona 2,Cuenca,Tarjeta de debito,Noche
V1082,Sucursal 1,2023-03-25,3,Smartphone,Accesorios,25.0,6,480.0,E3,Pedro Gomez,2,15,Zona 2,Cuenca,Tarjeta de debito,Tarde
V1083,Sucursal 1,2023-03-15,7,Camiseta,Ropa,40.0,6,1200.0,E1,Carlos Perez,1,0,Zona 1,Loja,Tarjeta de credito,Noche
V1084,Sucursal 1,2023-01-09,9,Auriculares Bluetooth,Ropa,60.0,4,480.0,E4,Carlos Perez,3,10,Zona 3,Quito,PayPal,Mañana
V1085,Sucursal 1,2023-03-09,9,Pantalones,Calzado,60.0,10,400.0,E5,Carlos Perez,2,10,Zona 1,Quito,Transferencia,Tarde
V1086,Sucursal 1,2023-02-22,10,Zapatos deportivos,Electronica,30.0,4,900.0,E3,Ana Garcia,5,20,Zona 2,Ambato,PayPal,Mañana
V1087,Sucursal 1,2023-01-28,2,Bicicleta,Ropa,300.0,2,160.0,E1,Ana Garcia,4,0,Zona 3,Loja,Transferencia,Noche
V1088,Sucursal 1,2023-02-17,5,Pantalones,Electronica,40.0,7,280.0,E4,Lucia Martinez,1,5,Zona 2,Quito,Efectivo,Tarde
V1089,Sucursal 1,2023-01-06,4,Cargador inalambrico,Calzado,30.0,1,30.0,E4,Carlos Perez,1,0,Zona 1,Loja,Efectivo,Mañana
V1090,Sucursal 1,2023-01-22,1,Reloj,Electronica,80.0,1,60.0,E2,Jose Lopez,3,15,Zona 3,Quito,Efectivo,Tarde
V1091,Sucursal 1,2023-01-30,4,Reloj,Electronica,25.0,4,480.0,E3,Carlos Perez,1,20,Zona 1,Guayaquil,Transferencia,Mañana
V1092,Sucursal 1,2023-01-24,7,Bicicleta,Ropa,500.0,5,600.0,E2,Carlos Perez,3,15,Zona 3,Cuenca,Tarjeta de debito,Mañana
V1093,Sucursal 1,2023-02-07,2,Bicicleta,Electronica,120.0,1,2500.0,E4,Carlos Perez,2,0,Zona 1,Loja,Transferencia,Noche
V1094,Sucursal 1,2023-01-02,3,Cargador inalambrico,Electronica,30.0,4,225.0,E4,Ana Garcia,3,20,Zona 3,Loja,Tarjeta de debito,Tarde
V1095,Sucursal 1,2023-01-14,8,Smartphone,Accesorios,60.0,7,25.0,E2,Jose Lopez,2,10,Zona 2,Cuenca,Efectivo,Tarde
V1096,Sucursal 1,2023-03-10,10,Chaqueta de cuero,Electronica,120.0,2,300.0,E5,Carlos Perez,2,5,Zona 1,Cuenca,Tarjeta de credito,Noche
V1097,Sucursal 1,2023-03-23,1,Tablet,Electronica,300.0,6,1500.0,E2,Jose Lopez,2,5,Zona 2,Guayaquil,Transferencia,Mañana
V1098,Sucursal 1,2023-03-11,5,Chaqueta de cuero,Electronica,80.0,10,600.0,E2,Pedro Gomez,4,20,Zona 3,Cuenca,Transferencia,Noche
V1099,Sucursal 1,2023-02-18,5,Reloj,Ropa,300.0,3,450.0,E3,Jose Lopez,3,5,Zona 2,Loja,Transferencia,Tarde
V1100,Sucursal 1,2023-02-04,8,Bicicleta,Accesorios,300.0,7,4500.0,E3,Pedro Gomez,2,15,Zona 2,Loja,Transferencia,Noche
V1101,Sucursal 1,2023-03-21,2,Pantalones,Accesorios,30.0,5,4500.0,E2,Lucia Martinez,3,15,Zona 1,Cuenca,Tarjeta de credito,Mañana
V1102,Sucursal 1,2023-03-04,4,Zapatos deportivos,Ropa,250.0,9,120.0,E5,Lucia Martinez,1,15,Zona 3,Ambato,Transferencia,Noche
V1103,Sucursal 1,2023-01-05,8,Auriculares Bluetooth,Calzado,300.0,5,150.0,E1,Jose Lopez,4,20,Zona 3,Ambato,Transferencia,Tarde
V1104,Sucursal 1,2023-01-01,9,Cargador inalambrico,Accesorios,60.0,9,30.0,E5,Carlos Perez,5,10,Zona 3,Quito,PayPal,Noche
V1105,Sucursal 1,2023-02-23,6,Zapatos deportivos,Calzado,150.0,7,480.0,E5,Ana Garcia,1,0,Zona 3,Cuenca,Tarjeta de credito,Noche
V1106,Sucursal 1,2023-03-16,7,Zapatos deportivos,Ropa,150.0,3,2000.0,E3,Carlos Perez,3,0,Zona 2,Ambato,Transferencia,Tarde
V1107,Sucursal 1,2023-03-12,7,Cargador inalambrico,Accesorios,250.0,8,150.0,E4,Ana Garcia,2,10,Zona 3,Ambato,Transferencia,Mañana
V1108,Sucursal 1,2023-03-06,3,Reloj,Calzado,,7,,E3,Pedro Gomez,3,0,Zona 3,Guayaquil,Tarjeta de debito,Mañana
V1109,Sucursal 1,2023-03-08,4,Smartphone,Ropa,80.0,7,3500.0,E4,Ana Garcia,3,5,Zona 2,Guayaquil,Tarjeta de debito,Tarde
V1110,Sucursal 1,2023-01-02,1,Zapatos deportivos,Electronica,500.0,9,840.0,E2,Ana Garcia,2,5,Zona 3,Quito,Tarjeta de credito,Mañana
V1111,Sucursal 1,2023-01-04,9,Camiseta,Accesorios,500.0,1,250.0,E1,Pedro Gomez,4,10,Zona 2,Cuenca,Efectivo,Noche
V1112,Sucursal 1,2023-01-09,1,Camiseta,Electronica,80.0,10,360.0,E5,Jose Lopez,4,5,Zona 3,Cuenca,Tarjeta de credito,Mañana
V1113,Sucursal 1,2023-01-27,9,Auriculares Bluetooth,Ropa,120.0,4,320.0,E5,Carlos Perez,4,5,Zona 2,Guayaquil,Transferencia,Tarde
V1114,Sucursal 1,2023-02-05,2,Pantalones,Accesorios,300.0,3,600.0,E2,Lucia Martinez,3,5,Zona 2,Cuenca,Tarjeta de debito,Tarde
V1115,Sucursal 1,2023-03-19,9,Tablet,Ropa,60.0,6,2000.0,E1,Lucia Martinez,4,5,Zona 2,Ambato,Tarjeta de credito,Tarde
V1116,Sucursal 1,2023-03-12,6,Smartphone,Ropa,250.0,6,600.0,E3,Ana Garcia,5,0,Zona 1,Quito,Tarjeta de credito,Mañana
V1117,Sucursal 1,2023-01-19,6,Tablet,Accesorios,250.0,10,2250.0,E5,Carlos Perez,3,5,Zona 3,Guayaquil,Transferencia,Noche
V1118,Sucursal 1,2023-02-01,6,Zapatos deportivos,Electronica,500.0,1,80.0,E3,Jose Lopez,5,5,Zona 1,Ambato,Tarjeta de debito,Mañana
V1119,Sucursal 1,2023-03-18,6,Tablet,Electronica,30.0,2,60.0,E2,Ana Garcia,3,20,Zona 2,Ambato,Transferencia,Noche
V1120,Sucursal 1,2023-02-12,5,Tablet,Accesorios,40.0,5,450.0,E5,Carlos Perez,1,0,Zona 2,Quito,Tarjeta de credito,Mañana
V1121,Sucursal 1,2023-03-22,5,Chaqueta de cuero,Electronica,300.0,3,1500.0,E2,Ana Garcia,3,10,Zona 1,Loja,Transferencia,Mañana
